# As, ns, H0, w0, ombh2, omch2, nu_mass_ev, sigma8
1.47405133 1.00945830 59.72959900 -1.35573566 0.01740710 0.13311985 0.03654721 0.78017733
1.67653236 0.94857067 72.40898132 -1.25838923 0.02648635 0.13412274 0.18273698 0.77859127
1.74438897 0.96076578 63.68556213 -1.21179640 0.01962075 0.11820062 0.02462526 0.77521468
1.66055303 0.98394543 71.57246399 -0.75968820 0.01848138 0.11300255 0.23948339 0.63354119
1.56608193 0.96076578 63.68556213 -1.21179640 0.01962075 0.11820062 0.02795881 0.73388855
1.74640968 0.93057215 77.11837006 -1.52003360 0.02340968 0.15879390 0.01087464 0.73388855
1.50723900 0.93597490 53.99689865 -0.81776196 0.02336073 0.10916688 0.01600304 0.58834693
1.90902827 0.94536787 53.03684616 -1.38510573 0.01782089 0.14678350 0.10198722 0.84648090
2.15187668 0.99560046 64.32041931 -1.09797823 0.02233335 0.14252511 0.02064975 0.93531687
1.59828029 1.00158918 77.50154877 -1.49125230 0.02709998 0.11473927 0.01329636 0.77598718
1.46429702 0.94857067 72.40898132 -1.25838923 0.02648635 0.13412274 0.27516496 0.71254387
1.28737454 0.96835405 60.20144653 -0.65977305 0.02002317 0.09873975 0.43572268 0.44539315
1.71913428 0.95330954 56.54874802 -0.46792930 0.02098820 0.10337945 0.07412355 0.51251833
1.55358271 0.95952320 61.61661148 -0.96327442 0.02025113 0.13608001 0.21397588 0.71418302
1.26736266 1.00904417 64.97381592 -1.24683046 0.01951856 0.08734655 0.14146541 0.71418302
2.29580088 0.94269449 75.65285492 -0.49929604 0.02626212 0.13031183 0.08497220 0.65915452
3.00535641 0.96967381 69.15243530 -1.36939251 0.02482672 0.11693748 0.19078591 0.97587373
2.57102428 0.95802832 79.74549103 -0.64088821 0.02681798 0.12407271 0.04998092 0.76703452
2.42947729 0.97562885 61.32385635 -0.88729209 0.02246224 0.08086970 0.12951683 0.76703452
1.96583150 0.99953866 69.90177155 -0.55684012 0.02394038 0.08846092 0.04843269 0.76703452
1.54080992 0.93488830 76.72762299 -1.50285709 0.01927396 0.08051672 0.30581710 0.52232857
2.08649964 0.98194867 71.02968597 -1.30466187 0.02046720 0.13131824 0.45403448 0.85672011
1.31455946 1.00774121 55.88682556 -1.01772416 0.02589195 0.14634591 0.01455030 0.68302685
2.25939867 0.98465681 60.58536148 -1.05481386 0.02425242 0.09559236 0.04565245 0.71332961
1.16629428 0.95570517 79.06343842 -0.91724169 0.01734237 0.14155602 0.15623631 0.68481283
2.60701127 1.00538194 59.35521317 -0.59299612 0.02118208 0.13830270 0.07313672 0.86645334
2.16148943 0.94074303 78.57331085 -0.72919989 0.02664756 0.15627640 0.01591682 0.86645334
2.65451683 0.99179590 67.52202606 -0.80881554 0.02529759 0.10142812 0.37616611 0.69133936
3.08124659 0.97791845 55.22055817 -1.28972089 0.02596002 0.15775780 0.09357055 0.69133936
2.83974555 0.99274153 74.00947571 -0.64300674 0.02295027 0.08412905 0.13574593 0.69133936
1.13683762 0.98246485 74.93337250 -0.94860613 0.02316965 0.11888330 0.12559652 0.58698161
2.34804087 0.94697350 75.87892914 -1.30211258 0.02034072 0.10235945 0.09133161 0.85381031
1.45142387 0.95307916 68.63261414 -0.61004579 0.02359762 0.14070192 0.18716341 0.62058879
2.10721063 0.95230120 53.79651260 -0.70503563 0.02509228 0.08661231 0.06462513 0.62058879
2.26420771 0.93435091 72.28435516 -0.62326044 0.02052621 0.14456722 0.14697622 0.81225781
2.21681984 0.93821603 69.53208160 -1.00664461 0.02013472 0.15273483 0.20696878 0.89239789
1.88225746 0.96586293 70.20410156 -1.33398843 0.02727368 0.11112708 0.16354036 0.73668181
